image_path,is_cattle,disease_status,farm_id,source,notes,symptoms_visible,is_early_stage
d:\AniLinkData2\cattle_healthy\Ayrshirecattle0.jpg,1,0,unknown_farm,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle0_c.jpg,1,0,unknown_farm,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle1.jpg,1,0,unknown_farm,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle10.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle100.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle100_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle101.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle101_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle102.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle102_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle103.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle103_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle104.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle104_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle105.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle105_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle106.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle106_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle107.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle107_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle109.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle109_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle10_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle11.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle111.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle111_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle113.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle113_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle116.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle116_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle117.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle117_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle118.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle118_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle119.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle119_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle11_c.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle12.jpg,1,0,farm_hirecattle,healthy,,False,False
d:\AniLinkData2\cattle_healthy\Ayrshirecattle121.jpg,1,0,farm_hirecattle,healthy,,False,False
